Brand,Product Name,Model Number,PV Module Maximum Power [W],Number of Light Points,Main Unit Battery Chemistry
Solektra,Home Mate Family,Modular,N/A,N/A,LiFePO4
Jiro-Ve,Powerpack 10,PP10,N/A,1,Li-Ion
Sun King (Greenlight Planet),Home 120 / Home 120 EasyBuy,SK-407 / SK-409,11,3,LiFePO4
BeeBeeJump Technology Co. Ltd,Beebeesolar S1 Plus Family,Modular,160,N/A,LiFePO4
Lumos,Lumos L1 Family,Lumos L1,N/A,N/A,LiFePO4
BeeBeeJump Technology Co. Ltd,Beebeesolar S1 Plus,S1 Plus,150,2,LiFePO4
Little Sun GmbH,Little Sun Charge Solar Charger 4400 mAh,Gen III,2.7,1,LiFePO4
Barefoot Power,Barefoot Connect Li 1000 Ultra,020-30-0071,15,4,LiFePO4
Acultra,10 W Solar Home System,TCSH-010,14,3,LiFePO4
Roofstar,Flex 3e Family,Modular,N/A,N/A,LiFePO4
Roofstar,Flex 3e Solar Home System,Flex 3e,11,4,LiFePO4
MySol,MySol NEO Family,Modular,N/A,N/A,LiFePO4
MySol,MySol Neo Solar Home System,M0010,9.6,2,LiFePO4
MySol,MySol Neo Solar Home System,M0019,9.6,2,LiFePO4
d.light,Solar Lantern,S30,0.33,1,LiFePO4
SolarChange,SolarChange Solar Lighting System,SC-810,10,7,LiFePO4
Qingdao Sunshine New Energy Co. Ltd,Solar & Music Family,Modular,N/A,N/A,LiFePO4
d.light,Solar Lantern,S3,0.33,1,LiFePO4
MySol,MySol Teevo,M0018,54,5,LiFePO4
MySol,MySol Teevo Power Family,Modular,N/A,N/A,LiFePO4
d.light,SHS Family,Modular,N/A,N/A,Modular
d.light,X1000 Pro Solar Home System,X1000 Pro,40,6,LiFePO4
Afreesun Limited,ACOLOR Solar Lighting System,ACOLOR-70,9.1,4,Li-ion
d.light,X850 Plus and X1000,X850 Plus and X1000,40,6,LiFePO4
d.light,X2800 Solar Home System,X2800,73,3,LiFePO4
Afreesun Limited,ACOLOR/ALAMP Family,Modular,N/A,N/A,Li-ion
d.light,Solar Home System,D200,10,5,LiFePO4
Schneider Electric,Mobiya Original (Blue Standard),AEP-LU01-S2000,2.6,1,LiFePO4
MySol,MySol 120 W TV 32" kit,B35CAC-SC82,119,4,Sealed lead-acid
d.light,D1XX Family,Modular,N/A,N/A,LiFePO4
Shenzhen LEMI,Solar Home System,LM-LFP100,98,4,LiFePO4
Shenzhen LEMI,SHS LFP Family,Modular,N/A,N/A,Modular
MySol,MySol SHS Family,Modular,N/A,N/A,Sealed lead-acid
Spark,Spark Start Family,Modular,N/A,N/A,LiFePO4
Namene Solar Lights Limited,Zuba Solar Light,--,0.35,1,LiFePO4
Qingdao Sunshine New Energy Co. Ltd,SF-310 Solar Lighting System,SF-310,11,6,LiFePO4
Qingdao Sunshine New Energy Co. Ltd,Solarchange Family,Modular,N/A,N/A,LiFePO4
Schneider Electric,Mobiya Original (green),AEP-LR01-S2000,2.6,1,LiFePO4
Schneider Electric,Mobiya Original (Green Standard),AEP-LR01-S2000,2.6,1,LiFePO4
Spark,Spark Start,N/A,10,4,LiFePO4
Schneider Electric,Mobiya Original (blue),AEP-LU01-S2000,2.6,1,LiFePO4
Unite to Light,Luke Light,CH1070-01,0.34,1,Li-Ion
Solar Run,Eco Box,SR24C32YG,16,3,LiFePO4
Solar Run,Eco Box Family,Modular,N/A,N/A,LiFePO4
Shenzhen Topray Solar Co. Ltd,10 W Solar Lighting System,TPS-612-GFS-10W-T,10,2,Li-ion
StarTimes,S130 Family,Modular,N/A,N/A,LiFePO4
OffgridSun,Energy Station Next,N/A,16,3,LiFePO4
StarTimes,S350 Family,Modular,N/A,N/A,LiFePO4
OffgridSun,Energy Station Family,Modular,N/A,N/A,LiFePO4
Sun King (Greenlight Planet),Sun King Home 200X,SK-434,11,3,Li-ion
